Standard_brand,Common_names,,,,,
Hewitt,UK-9012,,,,,
IBP,I.B.P,I b p,ipb,IBPCAB,I.B.P.,IBP
Pantanal,pantanal,,,,,
PUL,PUL,,,,,
Plena,Plena,,,,,
Dom Glutao,DG,Dom,,,,
Gejota,Get,,,,,
Gold Beef ,GB,Gold Beef,,,,
midfield,MF,,,,,
Mondelli,Mondelli,,,,,
Sukarne,Sukarne,,,,,
Minerva,美麗華,Mv,美丽华,,,
National Beef,NB,N.b.,National,,,
Quality Beef,Qb,Q.B.,,,,
Canadian Diamond,,,,,,
Clear River ,,,,,,
Excel,EX,,,,,
Affco,,,,,,
Silver Fern,SF,S.F,S.F.,,,
Friarsa,,,,,,
Anglo,ANGLO,,,,,
Iowa Premium ,Iowa,,,,,
Masterboi,,,,,,
Conallison,,,,,,
Showcase,,,,,,
Dawn Meat,DM,Dawn,,,,
Kepak,,,,,,
Tboer,,,,,,
Bustos,,,,,,
Frimesa,Fm,,,,,
Ifssa,,,,,,
AMH,,,,,,
Offal,Off,,,,,
Meatex,,,,,,
Barra Mansa,,,,,,
Seara,,,,,,
Palmali,,,,,,
Aurora,日昇,日升,,,,
Alibem,阿里巴,,,,,
Dalia,,,,,,
Notable,,,,,,
Pif Paf,PP,P.P.,PIFPIAF,PIFPAF,,
Alegra,,,,,,
Sulita,,,,,,
Smithfield,,,,,,
Miratorg,,,,,,
VLMK,,,,,,
Westfleisch,West Fleishch ,,,,,
Tonnies,Tonnis,Tonni,Tonnie,,,
Pamplona,,,,,,
Artigas Duroc,,,,,,
Jamondul Ibericos,,,,,,
Tican,,,,,,
Animex,,,,,,
GameMeat,,,,,,
Ovation,OVA,O.V.A,,,,
BX,B.X.,BX Foods,BX Food,,,
Canterbury,,,,,,
Cancao,,,,,,
欣城,,,,,,
Mataboi,,,,,,
Rusagro,,,,,,
Eco Frigo,,,,,,
Sao Francisco,,,,,,
Naturafrig,,,,,,
Anzco,,,,,,
Forres,,,,,,
Pernam Ibericos,,,,,,
TK,T.K.,T.K,,,,
Jagua,,,,,,
Pamplona,,,,,,
Velikoluksky,,,,,,
GJ,,,,,,
Frigon,,,,,,
興源,,,,,,
龐寶,,,,,,
Sadia,沙地亞,,,,,
中佳,,,,,,
CV,,,,,,
金杯,,,,,,
華英,,,,,,
鴻鷹,,,,,,
北海,,,,,,
神字,,,,,,
保雕,,,,,,
Davmet,,,,,,
大F,,,,,,
FRIALTO,Friato,,,,,
Mister Frango,misterfrango,,,,,
RICO,,,,,,
Super Frango,,,,,,
Diplomata,大使,,,,,
Fribal,,,,,,
Friboi,,,,,,
Madeka,,,,,,
ABP,,,,,,
Circle T,,,,,,
TC,,,,,,
Sublime,,,,,,
Frango Rico,,,,,,
Le Vida,,,,,,
Qualiko,,,,,,
Inghams,,,,,,
Lar,,,,,,
Farbest Food,,,,,,
Uniaves,Uni,,,,,
MK,,,,,,
Olymel,,,,,,
Betagro,,,,,,
Goodvalley,,,,,,
品鮮,,,,,,
Pesantar,,,,,,
Hillside,,,,,,
V&V Walsh,,,,,,
雙匯,,,,,,
金妹,,,,,,
四洲,,,,,,
威寶,,,,,,
大利,,,,,,
湖記,,,,,,
Feast,,,,,,
Forte Frigo,,,,,,
Levo,,,,,,
Shkiba,,,,,,
Frivatti,,,,,,
New Brand,,,,,,
Ramax,,,,,,
Languiru,,,,,,
CDI,,,,,,
王者至尊,,,,,,
frivaes,,,,,,
casefarm,CASE Farm,,,,,
納晨,,,,,,
COTO,,,,,,
CR Premium,,,,,,
Pure South,,,,,,
Four Star,,,,,,
Kilcoy,,,,,,
Chairman's Reserve,,,,,,
Angus Pride,,,,,,
Sterling Silver,,,,,,
Carrara,,,,,,
Hinerlands Beef,,,,,,
Mc Herd,,,,,,
CKI,,,,,,
Greentale,,,,,,
Green Gables ,Green Gables Platinum,Green Gables Signature,,,,
P584,584,P-584,,,,
P109,109,P-109,,,,
P505,505,P-505,,,,
CHR,,,,,,
寶豬牌,,,,,,
冠軍,,,,,,
確好,,,,,,
VION,,,,,,
UNICO,,,,,,
MONTARAZ,,,,,,
HEMOSA,,,,,,
Frangosul,,,,,,
連翔,,,,,,
Mountaire,,,,,,
銘川,,,,,,
Tyson,Tyson Foods,Tysonfood,,,,
嘉士德,,,,,,
蜜都牌,,,,,,
大成,,,,,,
Ligo,力高,,,,,
Simplot,,,,,,
海洋翡翠,,,,,,
海之星,,,,,,
OCI,,,,,,
Talley's,talley,Talleys,,,,
Sandord,,,,,,
Azure,,,,,,
北吉,,,,,,
TAKANOBU,,,,,,
煌寶,,,,,,
Icicle,,,,,,
SPC,,,,,,
Niqitaq,,,,,,
Fishery Bay,,,,,,
Amaltal,,,,,,
Ocean Jade,,,,,,
Fortuna,,,,,,
Yamahobn,,,,,,
一正,,,,,,
Matsuwa,,,,,,
車輪牌,,,,,,
海之鮇,,,,,,
星嘜牌,,,,,,
龍珠牌,,,,,,
Coren,,,,,,
BATALLE,,,,,,
BOYNE,,,,,,
Boi Brasil,Boi,BB,,,,
盛佳康,,,,,,